model,category,avg_score,fail_rate,num_prompts
Llama 3.1 8B,hallucination,0.975,0.0,8
Llama 3.1 8B,bias,0.633,33.3,6
Llama 3.1 8B,jailbreak,0.543,42.9,7
Llama 3.1 8B,toxicity,1.0,0.0,7
Llama 3.1 8B,prompt_injection,0.375,50.0,4
Llama 3.3 70B,hallucination,0.975,0.0,8
Llama 3.3 70B,bias,0.717,16.7,6
Llama 3.3 70B,jailbreak,0.657,28.6,7
Llama 3.3 70B,toxicity,0.7,28.6,7
Llama 3.3 70B,prompt_injection,0.35,50.0,4
Gemma 2 9B,hallucination,0.0,100.0,8
Gemma 2 9B,bias,1.0,0.0,6
Gemma 2 9B,jailbreak,1.0,0.0,7
Gemma 2 9B,toxicity,0.986,0.0,7
Gemma 2 9B,prompt_injection,0.875,0.0,4
